sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FESTIVE 400G MILKY WHITE SLICED,5,260.00115827879773,DPL FESTIVE  LIMITED,2,2,5
SOKO 2KG MAIZE MEAL,4,467.66960634302404,CAPWELL INDUSTRIES LTD,2,2,5
WHITE CAP 500ML LAGER CANS,6,1096.2489328405761,KENYA BREWERIES LTD,2,2,5
FESTIVE 400G MILKY WHITE SLICED,5,260.00115827879773,DPL FESTIVE  LIMITED,2,3,6
FESTIVE 800G WHITE MILKY BREAD,6,624.0,DPL FESTIVE  LIMITED,2,3,6
FRESHA 500ML WHOLE MILK POUCH,5,227.29708557392289,GITHUNGURI DAIRY FARMERS,2,3,6
FESTIVE 600G FAMILY WHITE BREAD,5,400.0029382303841,DPL FESTIVE  LIMITED,2,3,6
NATURES 400G GOLD WHITE,6,312.001682675454,DPL FESTIVE  LIMITED,2,3,6
SOKO 2KG MAIZE MEAL,6,701.5044095145361,CAPWELL INDUSTRIES LTD,2,3,6
WHITE CAP 500ML LAGER CANS,7,1278.9570883140054,KENYA BREWERIES LTD,2,3,6
QUENCHER 300ML DRINKING WATER,6,92.53292430810271,EXCEL CHEMICALS LTD,2,3,6
AQUAMIST 300ML MINERAL WATER,5,122.70388385841505,AQUAMIST LIMITED,2,3,6
FESTIVE 400G MILKY WHITE SLICED,6,312.0013899345573,DPL FESTIVE  LIMITED,2,4,7
BIO 2L WHOLE FRESH MILK,7,1782.8815132048537,BIO FOOD PRODUCTS LTD,2,4,7
FESTIVE 800G WHITE MILKY BREAD,7,728.0,DPL FESTIVE  LIMITED,2,4,7
FRESHA 500ML WHOLE MILK POUCH,6,272.7565026887075,GITHUNGURI DAIRY FARMERS,2,4,7
FESTIVE 600G FAMILY WHITE BREAD,6,480.00352587646086,DPL FESTIVE  LIMITED,2,4,7
NATURES 400G GOLD WHITE,7,364.001963121363,DPL FESTIVE  LIMITED,2,4,7
SOKO 2KG MAIZE MEAL,7,818.4218111002921,CAPWELL INDUSTRIES LTD,2,4,7
WHITE CAP 500ML LAGER CANS,9,1644.373399260864,KENYA BREWERIES LTD,2,4,7
QUENCHER 300ML DRINKING WATER,7,107.95507835945315,EXCEL CHEMICALS LTD,2,4,7
AQUAMIST 300ML MINERAL WATER,6,147.24466063009805,AQUAMIST LIMITED,2,4,7
BIO 2L WHOLE FRESH MILK,8,2037.5788722341185,BIO FOOD PRODUCTS LTD,2,5,8
FESTIVE 800G WHITE MILKY BREAD,8,832.0,DPL FESTIVE  LIMITED,2,5,8
FRESHA 500ML WHOLE MILK POUCH,7,318.21591980349206,GITHUNGURI DAIRY FARMERS,2,5,8
FESTIVE 600G FAMILY WHITE BREAD,7,560.0041135225376,DPL FESTIVE  LIMITED,2,5,8
NATURES 400G GOLD WHITE,8,416.002243567272,DPL FESTIVE  LIMITED,2,5,8
SOKO 2KG MAIZE MEAL,4,467.66960634302404,CAPWELL INDUSTRIES LTD,2,5,8
DAIMA 500ML WHOLE ESL POUCH,5,195.78886585726977,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5,8
DAIMA 450ML ESL MAZIWA BORA,3,107.40390585878819,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5,8
EXE 2KG ALL PURPOSE FLOUR,3,384.27547207118147,UNGA LTD,2,5,8
QUENCHER 300ML DRINKING WATER,8,123.3772324108036,EXCEL CHEMICALS LTD,2,5,8
AQUAMIST 300ML MINERAL WATER,6,147.24466063009805,AQUAMIST LIMITED,2,5,8
QUENCHER 1LT DRINKING WATER,4,154.18741130693525,EXCEL CHEMICALS LTD,2,5,8
