sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 500ML DAIRY BEST (POUCH),4473,195700.7067016289,BROOKSIDE DAIRY LIMITED,7,10
ILARA FRESH MILK 500ML SATCHET,1321,59415.80701941684,BROOKSIDE DAIRY LIMITED,7,10
TUZO 500ML FRESH MILK (POUCH),718,33889.63716235888,BROOKSIDE DAIRY LIMITED,7,10
BROOKSIDE 500ML TR FRESH MILK,670,34825.06717902971,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 400G MILKY WHITE SLICED,388,20176.089882434706,DPL FESTIVE  LIMITED,7,10
BIO 2L WHOLE FRESH MILK,373,95002.11491791578,BIO FOOD PRODUCTS LTD,7,10
BROOKSIDE 1LT UHT WHOLE MILK,366,45501.33769516728,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 800G WHITE MILKY BREAD,345,35880.0,DPL FESTIVE  LIMITED,7,10
FRESHA 500ML WHOLE MILK POUCH,341,15501.661236141541,GITHUNGURI DAIRY FARMERS,7,10
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,335,13701.34362934363,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 600G FAMILY WHITE BREAD,330,26400.19392320535,DPL FESTIVE  LIMITED,7,10
NATURES 400G GOLD WHITE,323,16796.090584028607,DPL FESTIVE  LIMITED,7,10
TUZO 450ML ESL WHOLE MILK 90DAYS,306,11246.102414618228,BROOKSIDE DAIRY LIMITED,7,10
SOKO 2KG MAIZE MEAL,299,34958.30307414105,CAPWELL INDUSTRIES LTD,7,10
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,293,17726.359629511342,BROOKSIDE DAIRY LIMITED,7,10
DAIMA 500ML WHOLE ESL POUCH,278,10885.8609416642,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
AJAB 2KG HOME BAKING FLOUR,253,32318.935418810455,GRAIN INDUSTRIES LIMITED,7,10
DAIMA 500ML FINO MAZIWA BORA,250,9531.35949544499,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
NATURES 600G WHITE BREAD,247,19760.195520374204,DPL FESTIVE  LIMITED,7,10
BROOKSIDE 250ML UHT WHOLE MILK,244,8198.494054158235,BROOKSIDE DAIRY LIMITED,7,10
DAIMA 450ML ESL MAZIWA BORA,230,8234.299449173763,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
EXE 2KG ALL PURPOSE FLOUR,223,28564.476757291155,UNGA LTD,7,10
TUZO 450ML ESL WHOLE MILK 30DAYS,221,9812.367772511849,BROOKSIDE DAIRY LIMITED,7,10
FRESHA MAISHA 250ML LONG LIFE MILK,197,4728.072285288385,GITHUNGURI DAIRY FARMERS,7,10
FRESHA MAISHA 500ML LONG LIFE MILK,180,7985.348831518414,GITHUNGURI DAIRY FARMERS,7,10
BIO 1L FRESH WHOLE MILK,169,23103.24546960622,BIO FOOD PRODUCTS LTD,7,10
JOGOO 2KG MAIZE MEAL,157,18212.818125177004,UNGA LTD,7,10
KABRAS 2KG WHITE SUGAR,147,37617.42599409864,WEST KENYA SUGAR COMPANY LTD,7,10
GOLD CROWN 500ML WHOLE MILK LONGLIFE FINO TFA 20,145,6341.535564853557,NEW KENYA COOP CREAMERIES  LTD,7,10
KCC 500ML FRESH WHOLE MILK TFA 21,144,6094.936443148688,NEW KENYA COOP CREAMERIES  LTD,7,10
NUTRAMEAL 1KG SUGAR,143,19715.243212237096,KAMILI PACKERS SUGAR ONLY,7,10
KCC 500ML FRESH W/MILK (POUCH)-84,142,6406.114504792333,NEW KENYA COOP CREAMERIES  LTD,7,10
ILARA  POUCH FRESH MILK 1LTR,132,12359.644830466012,BROOKSIDE DAIRY LIMITED,7,10
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,129,26516.72985971944,BROOKSIDE DAIRY LIMITED,7,10
KABRAS 1KG WHITE SUGAR,125,16735.127104655003,WEST KENYA SUGAR COMPANY LTD,7,10
PEMBE 2KG MAIZE MEAL,124,14582.88903495668,PEMBE FLOUR MILLS,7,10
NUTRAMEAL 2KG SUGAR,114,30411.831319738365,KAMILI PACKERS SUGAR ONLY,7,10
KCC 500ML GOLD CROWN  (POUCH)-55,110,5056.316483516484,NEW KENYA COOP CREAMERIES  LTD,7,10
BROOKSIDE 2LTR FRESH MILK WHOLE BOTTLE,102,20967.483194675544,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 400G WHOLE MEAL,97,5044.033827375763,DPL FESTIVE  LIMITED,7,10
BROOKSIDE 1LTR FRESH MILK STANDARD,96,9982.785633611928,BROOKSIDE DAIRY LIMITED,7,10
NATURES 800G WHITE BREAD,90,9360.146540027139,DPL FESTIVE  LIMITED,7,10
FESTIVE 600G FAMILY BRWN BREAD,83,6640.016435643564,DPL FESTIVE  LIMITED,7,10
BIO 2L SEMI SKIMMED FRESH MILK,81,19803.64456149592,BIO FOOD PRODUCTS LTD,7,10
BROOKSIDE 1L FARM FRESH MILK,80,8320.0,BROOKSIDE DAIRY LIMITED,7,10
BROOKSIDE 1L LACTOSE FREE UHT MILK,78,10871.272002099187,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 800G SUPREME WHOLE MEAL,78,8112.0,DPL FESTIVE  LIMITED,7,10
FESTIVE 400G FINEST SUPER SEEDED BREAD,77,8008.016559139785,DPL FESTIVE  LIMITED,7,10
FRESHA 5L WHOLE MILK,77,30767.644951140064,GITHUNGURI DAIRY FARMERS,7,10
SUPA 400G BUTTER TOAST BREAD,73,3796.131346640427,MINI BAKERIES NBI  LTD,7,10
BROOKSIDE 200ML  WHOLE MILK TCA,70,1792.0335832083958,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 300G 6S DELUXE ROLLS,67,6432.0,DPL FESTIVE  LIMITED,7,10
BROOKSIDE 1LT UHT LOWFAT MILK,66,8073.854304635761,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 400G WHITE SLICED,63,3175.299408284024,DPL FESTIVE  LIMITED,7,10
BIO 1L FRESH SEMI SKIMMED MILK,63,7916.906666666668,BIO FOOD PRODUCTS LTD,7,10
SUPA 400G WHITE SLICED BREAD CT,62,3224.0,MINI BAKERIES NBI  LTD,7,10
MOLO UHT MILK 500ML ESL 90DAYS,61,2288.3248076218397,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 300G 6S PREM PLAIN BURGER BUNS,60,5760.0,DPL FESTIVE  LIMITED,7,10
FRESHA 500ML ASEPTIC WHOLE MILK,59,2548.815833612882,GITHUNGURI DAIRY FARMERS,7,10
BROADWAY 400G WHITE SLICED BREAD,59,3068.0,BROADWAYS BAKERY LTD,7,10
AJAB 2KG MAIZE MEAL FLOUR,57,7079.920256204964,GRAIN INDUSTRIES LIMITED,7,10
AMAIZE 2KG PREMIUM MAIZE FLOUR,57,8352.187463837994,CAPWELL INDUSTRIES LTD,7,10
PEMBE 2KG HOMEBAKING,56,6837.626115922718,PEMBE FLOUR MILLS,7,10
DAIMA 200ML WHOLE MILK FINO TETRA 180DAYS,53,1085.9798408488066,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
RINSUN 5LT SUNFLOWER OIL,48,61054.6616240267,KAPA OIL REFINERIES LTD,7,10
SUPA LOAF WHITE BREAD 600G,44,3520.0,MINI BAKERIES NBI  LTD,7,10
MUMIAS 2KG SUGAR,43,11035.12770582105,Unknown,7,10
BROADWAY 400G NATURAL BROWN BREAD,42,2184.081316553727,BROADWAYS BAKERY LTD,7,10
NATURES 400G GOLD  BROWN,40,2080.077519379845,DPL FESTIVE  LIMITED,7,10
SUPA 600G WHITE BUTTER TOAST,39,3120.0,MINI BAKERIES NBI  LTD,7,10
BUTTERFLY 1KG SOOJI (SEMOLINA),34,5649.313703284259,SPICE WORLD LTD,7,10
BIO 1L BARISTA FRESH MILK,34,4868.375,BIO FOOD PRODUCTS LTD,7,10
HOSTESS 2KG FLOUR,34,4120.771436560181,UNGA LTD,7,10
KINGSMIL 400G KUBWA WAO WHITE BREAD,34,1768.0,KENAFRIC BAKERY LTD,7,10
MUMIAS 1KG SUGAR,33,4273.757428459428,Unknown,7,10
SOKO 1KG MAIZE MEAL FLOUR,32,2028.8400192400195,CAPWELL INDUSTRIES LTD,7,10
RINA 5LT VEGETABLE OIL,32,31163.83667820069,KAPA OIL REFINERIES LTD,7,10
RINSUN 3LT SUNFLOWER OIL,31,27128.526226529375,KAPA OIL REFINERIES LTD,7,10
RINSUN 2LT SUNFLOWER OIL,31,18789.182300884957,KAPA OIL REFINERIES LTD,7,10
EXE 2KG CHAPATI FLOUR,31,4198.55593220339,UNGA LTD,7,10
KINGSMIL 200G SLICED WHITE BREAD,30,840.0684150513111,KENAFRIC BAKERY LTD,7,10
TUZO 250ML UHT WHOLE MILK,30,960.0,BROOKSIDE DAIRY LIMITED,7,10
BROADWAYS 600G WHITE BREAD,30,2376.1373172282265,BROADWAYS BAKERY LTD,7,10
EXE 2KG SELF RAISING,29,4061.520841063698,UNGA LTD,7,10
GOLD CROWN 500ML LACTOSE FREE MILK TFA,30,1331.9956252278528,NEW KENYA COOP CREAMERIES  LTD,7,10
EXE 1KG ALL PURPOSE,27,1849.2603351955308,UNGA LTD,7,10
FRESHA 2LT WHOLE MILK,28,4704.0,GITHUNGURI DAIRY FARMERS,7,10
SUPA 800G SWICH WHITE BREAD,28,2912.0,MINI BAKERIES NBI  LTD,7,10
BROOKSIDE 250ML UHT LOW FAT MILK,28,940.8000000000001,BROOKSIDE DAIRY LIMITED,7,10
BIO 1L FRESH SKIMMED MILK,27,3323.9049504950494,BIO FOOD PRODUCTS LTD,7,10
DAIMA 200ML MILK FINO BORA,27,539.5243657252273,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
FESTIVE 350G SLICED SUB ROLLS 4S,26,2912.0,DPL FESTIVE  LIMITED,7,10
KINGSMIL 400G KUBWA WAO BROWN BREAD,26,1352.0,KENAFRIC BAKERY LTD,7,10
NATURES 600G BROWN BREAD,25,2000.0,DPL FESTIVE  LIMITED,7,10
SUPA 400G BARREL WHITE BREAD,25,1300.0311284046695,MINI BAKERIES NBI  LTD,7,10
BROADWAY 800G WHITE SANDWICH SLICED BREAD,25,2600.0309597523224,BROADWAYS BAKERY LTD,7,10
FESTIVE 350G LONG SLICED ROLLS 4S,24,1920.0,DPL FESTIVE  LIMITED,7,10
DAIMA 500ML UHT PLAIN FINO 180DAYS,24,1003.6441064638784,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
AJAB 1KG HOME BAKING FLOUR,22,2666.381517774235,GRAIN INDUSTRIES LIMITED,7,10
BROOKSIDE 3L FARM FRESH MILK,23,1021.1966460080205,BROOKSIDE DAIRY LIMITED,7,10
RINSUN 1LT SUNFLOWER OIL,20,18489.836454366545,KAPA OIL REFINERIES LTD,7,10
SOKO 2KG HOMEBAKING FLOUR,20,2405.957068837898,CAPWELL INDUSTRIES LTD,7,10
TUZO 200ML UHT WHOLE MILK,21,932.396937659497,BROOKSIDE DAIRY LIMITED,7,10
SUPA 800G WHITE BUTTER TOAST,20,1600.0,MINI BAKERIES NBI  LTD,7,10
AMAIZE 2KG SIFTED MAIZE FLOUR,18,2181.5848781789196,CAPWELL INDUSTRIES LTD,7,10
KINGSMIL 200G SLICED BROWN BREAD,20,1600.0,KENAFRIC BAKERY LTD,7,10
BROADWAY 200G WHITE KADOGO  BREAD,20,1600.0,BROADWAYS BAKERY LTD,7,10
NUTRAMEAL 5KG SUGAR,17,3347.0423714151157,KAMILI PACKERS SUGAR ONLY,7,10
FAMILA 1KG PURE WIMBI FLOUR,16,1939.1865583812619,UNGA LTD,7,10
EXE 1KG SELF RAISING,16,1939.1865583812619,UNGA LTD,7,10
FRESH FRI 250ML COOKING OIL,15,13867.377340774909,PWANI OIL PRODUCTS LTD.,7,10
EXE 2KG MANDAZI FLOUR,15,1817.987398482433,UNGA LTD,7,10
TUZO 1L UHT WHOLE MILK,16,710.3976667881882,BROOKSIDE DAIRY LIMITED,7,10
BROOKSIDE 500ML PLUS+ LOW FAT UHT MILK TFA,14,621.5979584396647,BROOKSIDE DAIRY LIMITED,7,10
SUPA 200G SWEET BREAD,14,1120.0,MIBISCO LTD,7,10
SUPA 600G BARREL WHITE BREAD,14,1120.0,MINI BAKERIES NBI  LTD,7,10
NESCAFE GOLD 12.5G CAPPUCCINO REDUCED SUGAR STICK,11,2165.733299150957,NESTLE KENYA LTD,7,10
RINA 1LT VEGETABLE OIL JERRICAN,10,9244.918227183272,KAPA OIL REFINERIES LTD,7,10
KINGSMIL 400G SWICH WHITE BREAD,12,960.0,KENAFRIC BAKERY LTD,7,10
RINSUN 500ML SUNFLOWER OIL,10,9244.918227183272,KAPA OIL REFINERIES LTD,7,10
RINA 2L VEGETABLE OIL JERRICAN,9,8320.426404464946,KAPA OIL REFINERIES LTD,7,10
BROADWAY 800G BROWN SANDWICH SLICED BREAD,11,880.0,BROADWAYS BAKERY LTD,7,10
FESTIVE 400G ZERO WHITE BREAD SF,11,880.0,DPL FESTIVE  LIMITED,7,10
BROADWAYS 600G BROWN BREAD,10,800.0,BROADWAYS BAKERY LTD,7,10
KINGSMIL 800G SWICH WHITE BREAD,10,800.0,KENAFRIC BAKERY LTD,7,10
KINGSMIL 600G SWICH WHITE BREAD,10,800.0,KENAFRIC BAKERY LTD,7,10
KCC 450ML ASCEPTIC WHOLE MILK 30,9,399.59868756835584,NEW KENYA COOP CREAMERIES  LTD,7,10
FESTIVE 1.5KG WHITE MILKY BREAD,8,640.0,DPL FESTIVE  LIMITED,7,10
BROOKSIDE 1LT PLUS+ FAT FREE UHT MILK TBA,8,355.1988333940941,BROOKSIDE DAIRY LIMITED,7,10
BROOKSIDE 500ML PLUS+ FAT FREE UHT MILK TFA,8,355.1988333940941,BROOKSIDE DAIRY LIMITED,7,10
KINGSMIL 600G SWICH BROWN BREAD,6,480.0,KENAFRIC BAKERY LTD,7,10
FESTIVE 400G SILINDA WHITE BREAD,6,480.0,DPL FESTIVE  LIMITED,7,10
FESTIVE 400GM BROWN SLICED,6,480.0,DPL FESTIVE  LIMITED,7,10
TOTAL,48289,4179717.802551952,Total,7,10
V22 BAG 10 X 15 X 22 30G,573,4585.110765075077,POLYTHENE INDUSTRIES LIMITED,7,10
V25 CARRIER BAG,517,8272.940167587807,POLYTHENE INDUSTRIES LIMITED,7,10
WHITE CAP 500ML LAGER CANS,370,67602.01752516886,KENYA BREWERIES LTD,7,10
